day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
3;0;CHOCOLATE;7750;117;;;;;7752;117;;;;;7751.0;0.0
3;100;CHOCOLATE;7751;50;7750.0;87.0;;;7752;137;;;;;7751.0;0.0
3;200;CHOCOLATE;7751;118;;;;;7752;43;7753.0;75.0;;;7752.0;0.0
3;300;CHOCOLATE;7750;110;;;;;7751;57;7752.0;53.0;;;7750.5;0.0
3;400;CHOCOLATE;7749;125;;;;;7750;47;7751.0;78.0;;;7750.0;0.0
3;500;CHOCOLATE;7749;125;;;;;7750;39;7751.0;86.0;;;7750.0;0.0
3;600;CHOCOLATE;7750;51;7749.0;78.0;;;7751;129;;;;;7750.0;0.0
3;700;CHOCOLATE;7750;57;7749.0;63.0;;;7751;57;7752.0;63.0;;;7750.5;0.0
3;800;CHOCOLATE;7749;42;7748.0;51.0;;;7750;93;;;;;7749.0;0.0
3;900;CHOCOLATE;7748;109;;;;;7750;109;;;;;7749.0;0.0
3;1000;CHOCOLATE;7748;116;;;;;7750;116;;;;;7749.0;0.0
3;1100;CHOCOLATE;7749;133;;;;;7751;133;;;;;7750.0;0.0
3;1200;CHOCOLATE;7750;61;7749.0;64.0;;;7751;117;;;;;7750.0;0.0
3;1300;CHOCOLATE;7750;54;7749.0;83.0;;;7751;137;;;;;7750.0;0.0
3;1400;CHOCOLATE;7750;64;7749.0;98.0;;;7751;64;7752.0;98.0;;;7750.5;0.0
3;1500;CHOCOLATE;7750;144;;;;;7751;52;7752.0;92.0;;;7751.0;0.0
3;1600;CHOCOLATE;7749;125;;;;;7750;61;7751.0;64.0;;;7750.0;0.0
3;1700;CHOCOLATE;7749;136;;;;;7750;38;7751.0;98.0;;;7750.0;0.0
3;1800;CHOCOLATE;7748;62;7747.0;59.0;;;7749;121;;;;;7748.5;0.0
3;1900;CHOCOLATE;7750;132;;;;;7751;53;7752.0;79.0;;;7751.0;0.0
3;2000;CHOCOLATE;7751;50;7750.0;75.0;;;7752;50;7753.0;75.0;;;7751.5;0.0
3;2100;CHOCOLATE;7752;44;7751.0;68.0;;;7753;112;;;;;7752.0;0.0
3;2200;CHOCOLATE;7750;45;7749.0;99.0;;;7751;45;7752.0;99.0;;;7750.5;0.0
