day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
4;0;COCONUT;9883;136;9882.0;49.0;;;9884;136;9885.0;49.0;;;9883.5;0.0
4;100;COCONUT;9885;101;9884.0;42.0;;;9886;101;9887.0;42.0;;;9885.5;0.0
4;200;COCONUT;9884;99;9883.0;67.0;;;9886;172;;;;;9885.0;0.0
4;300;COCONUT;9886;114;9885.0;42.0;;;9887;114;9888.0;42.0;;;9886.5;0.0
4;400;COCONUT;9884;200;;;;;9886;129;9887.0;71.0;;;9885.0;0.0
4;500;COCONUT;9884;155;;;;;9886;107;9887.0;48.0;;;9885.0;0.0
4;600;COCONUT;9884;140;9883.0;72.0;;;9885;140;9886.0;72.0;;;9884.5;0.0
4;700;COCONUT;9884;118;9883.0;45.0;;;9885;109;9886.0;45.0;;;9884.5;0.0
4;800;COCONUT;9884;116;9883.0;58.0;;;9885;115;9886.0;58.0;;;9884.5;0.0
4;900;COCONUT;9884;187;;;;;9886;128;9887.0;59.0;;;9885.0;0.0
4;1000;COCONUT;9885;119;9884.0;46.0;;;9887;165;;;;;9886.0;0.0
4;1100;COCONUT;9885;154;9884.0;56.0;;;9887;205;;;;;9886.0;0.0
4;1200;COCONUT;9884;117;9883.0;47.0;;;9886;164;;;;;9885.0;0.0
4;1300;COCONUT;9884;136;9883.0;79.0;;;9885;130;9886.0;79.0;;;9884.5;0.0
4;1400;COCONUT;9882;118;9881.0;72.0;;;9884;190;;;;;9883.0;0.0
4;1500;COCONUT;9883;198;;;;;9885;123;9886.0;75.0;;;9884.0;0.0
4;1600;COCONUT;9882;123;9881.0;58.0;;;9883;129;9884.0;58.0;;;9882.5;0.0
4;1700;COCONUT;9882;119;9881.0;52.0;;;9883;119;9884.0;52.0;;;9882.5;0.0
4;1800;COCONUT;9882;115;9881.0;72.0;;;9883;115;9884.0;72.0;;;9882.5;0.0
4;1900;COCONUT;9883;136;9882.0;44.0;;;9884;136;9885.0;44.0;;;9883.5;0.0
4;2000;COCONUT;9881;193;;;;;9883;126;9884.0;67.0;;;9882.0;0.0
4;2100;COCONUT;9881;182;;;;;9883;182;;;;;9882.0;0.0
4;2200;COCONUT;9881;147;9880.0;79.0;;;9882;147;9883.0;79.0;;;9881.5;0.0
4;2300;COCONUT;9881;187;;;;;9883;108;9884.0;79.0;;;9882.0;0.0
4;2400;COCONUT;9882;103;9881.0;60.0;;;9884;163;;;;;9883.0;0.0
4;2500;COCONUT;9882;132;9881.0;43.0;;;9883;139;9884.0;43.0;;;9882.5;0.0
4;2600;COCONUT;9882;139;9881.0;75.0;;;9883;148;9884.0;75.0;;;9882.5;0.0
4;2700;COCONUT;9881;134;9880.0;54.0;;;9882;127;9883.0;54.0;;;9881.5;0.0
