day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
4;0;COCONUT_COUPON;574;38;;;;;575;38;;;;;574.5;0.0
4;100;COCONUT_COUPON;575;39;;;;;576;39;;;;;575.5;0.0
4;200;COCONUT_COUPON;575;41;;;;;576;41;;;;;575.5;0.0
4;300;COCONUT_COUPON;576;41;;;;;578;41;;;;;577.0;0.0
4;400;COCONUT_COUPON;576;36;;;;;577;36;;;;;576.5;0.0
4;500;COCONUT_COUPON;577;24;;;;;578;43;;;;;577.5;0.0
4;600;COCONUT_COUPON;577;48;;;;;578;48;;;;;577.5;0.0
4;700;COCONUT_COUPON;577;41;;;;;578;41;;;;;577.5;0.0
4;800;COCONUT_COUPON;577;45;;;;;578;45;;;;;577.5;0.0
4;900;COCONUT_COUPON;576;26;;;;;578;31;;;;;577.0;0.0
4;1000;COCONUT_COUPON;576;28;;;;;577;28;;;;;576.5;0.0
4;1100;COCONUT_COUPON;576;48;;;;;577;48;;;;;576.5;0.0
4;1200;COCONUT_COUPON;575;35;;;;;576;35;;;;;575.5;0.0
4;1300;COCONUT_COUPON;574;3;;;;;575;31;;;;;574.5;0.0
4;1400;COCONUT_COUPON;575;45;;;;;576;45;;;;;575.5;0.0
4;1500;COCONUT_COUPON;575;38;;;;;576;38;;;;;575.5;0.0
4;1600;COCONUT_COUPON;574;48;;;;;575;48;;;;;574.5;0.0
4;1700;COCONUT_COUPON;576;36;;;;;577;36;;;;;576.5;0.0
4;1800;COCONUT_COUPON;575;34;;;;;577;34;;;;;576.0;0.0
4;1900;COCONUT_COUPON;578;41;;;;;579;41;;;;;578.5;0.0
4;2000;COCONUT_COUPON;577;51;;;;;578;51;;;;;577.5;0.0
4;2100;COCONUT_COUPON;576;49;;;;;577;49;;;;;576.5;0.0
4;2200;COCONUT_COUPON;577;45;;;;;578;45;;;;;577.5;0.0
4;2300;COCONUT_COUPON;577;51;;;;;578;37;;;;;577.5;0.0
4;2400;COCONUT_COUPON;576;39;;;;;577;39;;;;;576.5;0.0
4;2500;COCONUT_COUPON;576;32;;;;;577;32;;;;;576.5;0.0
4;2600;COCONUT_COUPON;576;29;;;;;577;29;;;;;576.5;0.0
4;2700;COCONUT_COUPON;577;32;;;;;578;32;;;;;577.5;0.0
4;2800;COCONUT_COUPON;578;32;;;;;579;32;;;;;578.5;0.0
4;2900;COCONUT_COUPON;578;29;;;;;579;29;;;;;578.5;0.0
4;3000;COCONUT_COUPON;579;34;;;;;580;34;;;;;579.5;0.0
4;3100;COCONUT_COUPON;578;35;;;;;579;35;;;;;578.5;0.0
4;3200;COCONUT_COUPON;577;31;;;;;578;31;;;;;577.5;0.0
4;3300;COCONUT_COUPON;575;36;;;;;576;2;577.0;34.0;;;576.0;0.0
4;3400;COCONUT_COUPON;575;43;;;;;576;43;;;;;575.5;0.0
4;3500;COCONUT_COUPON;577;39;;;;;578;39;;;;;577.5;0.0
4;3600;COCONUT_COUPON;577;42;;;;;578;42;;;;;577.5;0.0
4;3700;COCONUT_COUPON;576;39;;;;;577;39;;;;;576.5;0.0
4;3800;COCONUT_COUPON;578;31;;;;;579;31;;;;;578.5;0.0
4;3900;COCONUT_COUPON;577;45;;;;;578;45;;;;;577.5;0.0
4;4000;COCONUT_COUPON;575;42;;;;;576;42;;;;;575.5;0.0
4;4100;COCONUT_COUPON;575;45;;;;;576;45;;;;;575.5;0.0
4;4200;COCONUT_COUPON;575;40;;;;;576;40;;;;;575.5;0.0
4;4300;COCONUT_COUPON;574;37;;;;;575;37;;;;;574.5;0.0
4;4400;COCONUT_COUPON;573;27;;;;;574;27;;;;;573.5;0.0
4;4500;COCONUT_COUPON;573;50;;;;;574;50;;;;;573.5;0.0
4;4600;COCONUT_COUPON;573;36;;;;;574;36;;;;;573.5;0.0
4;4700;COCONUT_COUPON;574;40;;;;;575;40;;;;;574.5;0.0
4;4800;COCONUT_COUPON;573;39;;;;;574;39;;;;;573.5;0.0
4;4900;COCONUT_COUPON;572;49;;;;;573;37;;;;;572.5;0.0
4;5000;COCONUT_COUPON;572;44;;;;;573;44;;;;;572.5;0.0
4;5100;COCONUT_COUPON;572;68;;;;;573;50;;;;;572.5;0.0
4;5200;COCONUT_COUPON;571;40;;;;;572;40;;;;;571.5;0.0
4;5300;COCONUT_COUPON;572;33;;;;;573;33;;;;;572.5;0.0
4;5400;COCONUT_COUPON;569;31;;;;;570;31;;;;;569.5;0.0
4;5500;COCONUT_COUPON;568;36;;;;;569;36;;;;;568.5;0.0
4;5600;COCONUT_COUPON;569;29;;;;;570;29;;;;;569.5;0.0
4;5700;COCONUT_COUPON;568;31;;;;;570;31;;;;;569.0;0.0
4;5800;COCONUT_COUPON;569;35;;;;;570;35;;;;;569.5;0.0
4;5900;COCONUT_COUPON;570;48;;;;;571;42;;;;;570.5;0.0
4;6000;COCONUT_COUPON;570;38;;;;;571;38;;;;;570.5;0.0
4;6100;COCONUT_COUPON;568;33;;;;;569;33;;;;;568.5;0.0
4;6200;COCONUT_COUPON;568;42;;;;;569;32;;;;;568.5;0.0
4;6300;COCONUT_COUPON;566;41;;;;;567;41;;;;;566.5;0.0
4;6400;COCONUT_COUPON;565;24;;;;;566;39;;;;;565.5;0.0
4;6500;COCONUT_COUPON;566;34;;;;;567;34;;;;;566.5;0.0
4;6600;COCONUT_COUPON;565;42;;;;;566;42;;;;;565.5;0.0
4;6700;COCONUT_COUPON;565;36;;;;;566;36;;;;;565.5;0.0
4;6800;COCONUT_COUPON;567;29;;;;;568;29;;;;;567.5;0.0
4;6900;COCONUT_COUPON;565;44;;;;;566;44;;;;;565.5;0.0
4;7000;COCONUT_COUPON;564;37;;;;;565;37;;;;;564.5;0.0
4;7100;COCONUT_COUPON;563;40;;;;;564;40;;;;;563.5;0.0
4;7200;COCONUT_COUPON;564;36;;;;;565;36;;;;;564.5;0.0
4;7300;COCONUT_COUPON;564;40;;;;;565;40;;;;;564.5;0.0
4;7400;COCONUT_COUPON;562;34;;;;;563;34;;;;;562.5;0.0
4;7500;COCONUT_COUPON;562;39;;;;;563;39;;;;;562.5;0.0
4;7600;COCONUT_COUPON;562;28;;;;;563;28;;;;;562.5;0.0
4;7700;COCONUT_COUPON;563;32;;;;;564;32;;;;;563.5;0.0
4;7800;COCONUT_COUPON;562;33;;;;;563;33;;;;;562.5;0.0
4;7900;COCONUT_COUPON;564;37;;;;;566;37;;;;;565.0;0.0
4;8000;COCONUT_COUPON;563;46;;;;;564;46;;;;;563.5;0.0
4;8100;COCONUT_COUPON;561;37;;;;;562;37;;;;;561.5;0.0
4;8200;COCONUT_COUPON;562;45;;;;;563;45;;;;;562.5;0.0
4;8300;COCONUT_COUPON;561;15;;;;;562;34;;;;;561.5;0.0
4;8400;COCONUT_COUPON;560;34;;;;;561;34;;;;;560.5;0.0
4;8500;COCONUT_COUPON;559;48;;;;;560;48;;;;;559.5;0.0
4;8600;COCONUT_COUPON;562;48;;;;;563;48;;;;;562.5;0.0
4;8700;COCONUT_COUPON;561;35;;;;;562;35;;;;;561.5;0.0
