day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
3;0;ROSES;14415;72;;;;;14416;72;;;;;14415.5;0.0
3;100;ROSES;14418;20;14417.0;37.0;;;14419;57;;;;;14418.0;0.0
3;200;ROSES;14420;67;;;;;14422;67;;;;;14421.0;0.0
3;300;ROSES;14422;64;;;;;14424;64;;;;;14423.0;0.0
3;400;ROSES;14425;68;;;;;14427;68;;;;;14426.0;0.0
3;500;ROSES;14425;63;;;;;14426;63;;;;;14425.5;0.0
3;600;ROSES;14424;55;;;;;14426;55;;;;;14425.0;0.0
3;700;ROSES;14423;59;;;;;14424;59;;;;;14423.5;0.0
3;800;ROSES;14426;20;14425.0;37.0;;;14427;57;;;;;14426.0;0.0
3;900;ROSES;14427;49;;;;;14429;49;;;;;14428.0;0.0
3;1000;ROSES;14430;61;;;;;14432;61;;;;;14431.0;0.0
3;1100;ROSES;14430;18;14429.0;32.0;;;14431;50;;;;;14430.0;0.0
3;1200;ROSES;14429;69;;;;;14430;28;14431.0;41.0;;;14430.0;0.0
3;1300;ROSES;14429;49;;;;;14431;49;;;;;14430.0;0.0
3;1400;ROSES;14430;60;;;;;14431;60;;;;;14430.5;0.0
3;1500;ROSES;14429;64;;;;;14431;64;;;;;14430.0;0.0
3;1600;ROSES;14434;66;;;;;14435;66;;;;;14434.5;0.0
3;1700;ROSES;14435;17;14434.0;43.0;;;14436;60;;;;;14435.0;0.0
3;1800;ROSES;14428;21;14427.0;32.0;;;14429;53;;;;;14428.0;0.0
3;1900;ROSES;14426;73;;;;;14428;73;;;;;14427.0;0.0
3;2000;ROSES;14427;59;;;;;14429;59;;;;;14428.0;0.0
3;2100;ROSES;14428;68;;;;;14429;23;14430.0;45.0;;;14429.0;0.0
3;2200;ROSES;14428;72;;;;;14430;72;;;;;14429.0;0.0
3;2300;ROSES;14428;73;;;;;14429;27;14430.0;46.0;;;14429.0;0.0
3;2400;ROSES;14433;62;;;;;14434;62;;;;;14433.5;0.0
3;2500;ROSES;14431;70;;;;;14432;70;;;;;14431.5;0.0
3;2600;ROSES;14433;64;;;;;14435;64;;;;;14434.0;0.0
3;2700;ROSES;14436;70;;;;;14437;27;14438.0;43.0;;;14437.0;0.0
3;2800;ROSES;14439;70;;;;;14440;24;14441.0;46.0;;;14440.0;0.0
3;2900;ROSES;14446;23;14445.0;41.0;;;14447;64;;;;;14446.0;0.0
3;3000;ROSES;14444;22;14443.0;36.0;;;14445;58;;;;;14444.0;0.0
3;3100;ROSES;14442;60;;;;;14443;17;14444.0;43.0;;;14443.0;0.0
3;3200;ROSES;14444;19;14443.0;37.0;;;14445;56;;;;;14444.0;0.0
3;3300;ROSES;14445;48;;;;;14447;48;;;;;14446.0;0.0
3;3400;ROSES;14447;67;;;;;14449;67;;;;;14448.0;0.0
3;3500;ROSES;14446;58;;;;;14447;58;;;;;14446.5;0.0
3;3600;ROSES;14445;54;;;;;14446;15;14447.0;39.0;;;14446.0;0.0
3;3700;ROSES;14450;65;;;;;14451;65;;;;;14450.5;0.0
3;3800;ROSES;14452;62;;;;;14453;28;14454.0;34.0;;;14453.0;0.0
3;3900;ROSES;14454;62;;;;;14456;62;;;;;14455.0;0.0
3;4000;ROSES;14457;70;;;;;14458;20;14459.0;50.0;;;14458.0;0.0
3;4100;ROSES;14462;55;;;;;14464;55;;;;;14463.0;0.0
3;4200;ROSES;14462;55;;;;;14464;55;;;;;14463.0;0.0
3;4300;ROSES;14464;22;14463.0;48.0;;;14465;70;;;;;14464.0;0.0
3;4400;ROSES;14460;30;14459.0;42.0;;;14461;72;;;;;14460.0;0.0
3;4500;ROSES;14459;65;;;;;14460;29;14461.0;36.0;;;14460.0;0.0
3;4600;ROSES;14460;51;;;;;14462;51;;;;;14461.0;0.0
3;4700;ROSES;14463;23;14462.0;34.0;;;14464;57;;;;;14463.0;0.0
3;4800;ROSES;14461;67;;;;;14462;67;;;;;14461.5;0.0
3;4900;ROSES;14458;21;14457.0;32.0;;;14459;53;;;;;14458.0;0.0
3;5000;ROSES;14456;18;14455.0;30.0;;;14457;48;;;;;14456.0;0.0
3;5100;ROSES;14450;66;;;;;14452;66;;;;;14451.0;0.0
3;5200;ROSES;14448;34;14447.0;33.0;;;14449;63;;;;;14448.5;0.0
3;5300;ROSES;14448;29;14447.0;44.0;;;14449;73;;;;;14448.0;0.0
3;5400;ROSES;14449;60;;;;;14451;60;;;;;14450.0;0.0
3;5500;ROSES;14454;24;14453.0;36.0;;;14455;60;;;;;14454.0;0.0
3;5600;ROSES;14454;51;;;;;14456;51;;;;;14455.0;0.0
3;5700;ROSES;14453;27;14452.0;50.0;;;14454;77;;;;;14453.0;0.0
3;5800;ROSES;14454;23;14453.0;35.0;;;14455;58;;;;;14454.0;0.0
3;5900;ROSES;14453;70;;;;;14454;70;;;;;14453.5;0.0
3;6000;ROSES;14456;54;;;;;14457;16;14458.0;38.0;;;14457.0;0.0
3;6100;ROSES;14459;56;;;;;14461;56;;;;;14460.0;0.0
3;6200;ROSES;14455;70;;;;;14456;22;14457.0;48.0;;;14456.0;0.0
3;6300;ROSES;14455;16;14454.0;49.0;;;14456;65;;;;;14455.0;0.0
3;6400;ROSES;14461;23;14460.0;45.0;;;14462;68;;;;;14461.0;0.0
3;6500;ROSES;14464;74;;;;;14466;74;;;;;14465.0;0.0
3;6600;ROSES;14464;77;;;;;14465;29;14466.0;48.0;;;14465.0;0.0
3;6700;ROSES;14456;64;;;;;14457;64;;;;;14456.5;0.0
3;6800;ROSES;14458;70;;;;;14459;22;14460.0;48.0;;;14459.0;0.0
3;6900;ROSES;14459;54;;;;;14461;54;;;;;14460.0;0.0
3;7000;ROSES;14459;63;;;;;14461;63;;;;;14460.0;0.0
3;7100;ROSES;14462;59;;;;;14463;59;;;;;14462.5;0.0
3;7200;ROSES;14463;60;;;;;14464;60;;;;;14463.5;0.0
3;7300;ROSES;14465;62;;;;;14466;62;;;;;14465.5;0.0
3;7400;ROSES;14464;49;;;;;14466;49;;;;;14465.0;0.0
3;7500;ROSES;14464;69;;;;;14465;21;14466.0;48.0;;;14465.0;0.0
3;7600;ROSES;14466;21;14465.0;48.0;;;14467;69;;;;;14466.0;0.0
3;7700;ROSES;14465;60;;;;;14466;60;;;;;14465.5;0.0
3;7800;ROSES;14462;64;;;;;14463;64;;;;;14462.5;0.0
