day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;CROISSANTS;4304.0;112.0;;;;;4305;112;;;;;4304.5;0.0
-1;100;CROISSANTS;4304.0;133.0;;;;;4305;133;;;;;4304.5;0.0
-1;200;CROISSANTS;4304.0;110.0;;;;;4305;110;;;;;4304.5;0.0
-1;300;CROISSANTS;4304.0;118.0;;;;;4305;118;;;;;4304.5;0.0
-1;400;CROISSANTS;4305.0;142.0;;;;;4306;142;;;;;4305.5;0.0
-1;500;CROISSANTS;4305.0;135.0;;;;;4306;135;;;;;4305.5;0.0
-1;600;CROISSANTS;4305.0;126.0;;;;;4306;126;;;;;4305.5;0.0
-1;700;CROISSANTS;4305.0;109.0;;;;;4306;41;4307.0;68.0;;;4306.0;0.0
-1;800;CROISSANTS;4305.0;107.0;;;;;4306;35;4307.0;72.0;;;4306.0;0.0
-1;900;CROISSANTS;4306.0;46.0;4305.0;80.0;;;4307;126;;;;;4306.0;0.0
-1;1000;CROISSANTS;4306.0;164.0;;;;;4307;164;;;;;4306.5;0.0
-1;1100;CROISSANTS;4305.0;145.0;;;;;4306;145;;;;;4305.5;0.0
-1;1200;CROISSANTS;4305.0;116.0;;;;;4306;116;;;;;4305.5;0.0
-1;1300;CROISSANTS;4305.0;98.0;;;;;4306;98;;;;;4305.5;0.0
-1;1400;CROISSANTS;4306.0;47.0;4305.0;96.0;;;4307;143;;;;;4306.0;0.0
-1;1500;CROISSANTS;4306.0;35.0;4305.0;76.0;;;4307;111;;;;;4306.0;0.0
-1;1600;CROISSANTS;4305.0;124.0;;;;;4306;60;4307.0;64.0;;;4306.0;0.0
-1;1700;CROISSANTS;4305.0;54.0;4304.0;100.0;;;4306;154;;;;;4305.0;0.0
-1;1800;CROISSANTS;4305.0;57.0;4304.0;83.0;;;4306;140;;;;;4305.0;0.0
-1;1900;CROISSANTS;4304.0;119.0;;;;;4305;59;4306.0;60.0;;;4305.0;0.0
-1;2000;CROISSANTS;4304.0;117.0;;;;;4305;117;;;;;4304.5;0.0
-1;2100;CROISSANTS;4303.0;118.0;;;;;4304;61;4305.0;57.0;;;4303.5;0.0
-1;2200;CROISSANTS;4303.0;107.0;;;;;4304;43;4305.0;64.0;;;4304.0;0.0
-1;2300;CROISSANTS;4304.0;144.0;;;;;4305;144;;;;;4304.5;0.0
-1;2400;CROISSANTS;4304.0;127.0;;;;;4305;41;4306.0;86.0;;;4305.0;0.0
-1;2500;CROISSANTS;4304.0;138.0;;;;;4305;54;4306.0;84.0;;;4305.0;0.0
-1;2600;CROISSANTS;4304.0;109.0;;;;;4306;109;;;;;4305.0;0.0
-1;2700;CROISSANTS;4304.0;121.0;;;;;4306;130;;;;;4305.0;0.0
-1;2800;CROISSANTS;4304.0;112.0;;;;;4305;53;4306.0;59.0;;;4305.0;0.0
-1;2900;CROISSANTS;4304.0;98.0;;;;;4305;98;;;;;4304.5;0.0
-1;3000;CROISSANTS;4304.0;130.0;;;;;4305;40;4306.0;90.0;;;4305.0;0.0
-1;3100;CROISSANTS;4304.0;115.0;;;;;4306;115;;;;;4305.0;0.0
-1;3200;CROISSANTS;4304.0;106.0;;;;;4305;52;4306.0;54.0;;;4305.0;0.0
-1;3300;CROISSANTS;4304.0;137.0;;;;;4305;50;4306.0;87.0;;;4305.0;0.0
-1;3400;CROISSANTS;4304.0;128.0;;;;;4305;119;;;;;4304.5;0.0
-1;3500;CROISSANTS;4305.0;145.0;;;;;4306;145;;;;;4305.5;0.0
-1;3600;CROISSANTS;4305.0;132.0;;;;;4307;132;;;;;4306.0;0.0
-1;3700;CROISSANTS;4306.0;41.0;4305.0;86.0;;;4307;127;;;;;4306.0;0.0
-1;3800;CROISSANTS;4306.0;45.0;4305.0;53.0;;;4307;98;;;;;4306.0;0.0
-1;3900;CROISSANTS;4306.0;107.0;;;;;4307;107;;;;;4306.5;0.0
-1;4000;CROISSANTS;4306.0;106.0;;;;;4307;106;;;;;4306.5;0.0
-1;4100;CROISSANTS;4306.0;89.0;;;;;4307;39;4308.0;50.0;;;4307.0;0.0
