day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-2;0;SQUID_INK;1998.0;26.0;;;;;2002;26;;;;;2000.0;0.0
-2;100;SQUID_INK;1999.0;5.0;1998.0;26.0;;;2001;20;;;;;1999.5;0.0
-2;200;SQUID_INK;1997.0;31.0;;;;;2000;1;2001.0;30.0;;;1999.0;0.0
-2;300;SQUID_INK;1997.0;27.0;;;;;2000;27;;;;;1998.5;0.0
-2;400;SQUID_INK;1996.0;20.0;;;;;2000;20;;;;;1998.0;0.0
-2;500;SQUID_INK;1999.0;1.0;1997.0;30.0;;;2000;30;;;;;1998.5;0.0
-2;600;SQUID_INK;1997.0;30.0;;;;;2001;30;;;;;1999.0;0.0
-2;700;SQUID_INK;1999.0;28.0;;;;;2002;28;;;;;2000.5;0.0
-2;800;SQUID_INK;2002.0;1.0;1999.0;23.0;;;2003;23;;;;;2001.0;0.0
-2;900;SQUID_INK;1999.0;2.0;1998.0;30.0;;;2001;30;;;;;1999.5;0.0
-2;1000;SQUID_INK;1999.0;24.0;;;;;2001;8;2002.0;24.0;;;2000.5;0.0
-2;1100;SQUID_INK;1999.0;25.0;;;;;2001;3;2002.0;26.0;;;2000.5;0.0
-2;1200;SQUID_INK;1998.0;28.0;;;;;2002;28;;;;;2000.0;0.0
-2;1300;SQUID_INK;1999.0;3.0;1998.0;23.0;;;2001;23;;;;;1999.5;0.0
-2;1400;SQUID_INK;1996.0;26.0;;;;;1998;2;2000.0;26.0;;;1998.0;0.0
-2;1500;SQUID_INK;1997.0;2.0;1996.0;25.0;;;2000;27;;;;;1998.0;0.0
-2;1600;SQUID_INK;1997.0;24.0;;;;;2001;24;;;;;1999.0;0.0
-2;1700;SQUID_INK;1998.0;28.0;;;;;2000;2;2001.0;28.0;;;1999.5;0.0
-2;1800;SQUID_INK;1997.0;24.0;;;;;1999;1;2001.0;24.0;;;1999.0;0.0
-2;1900;SQUID_INK;2001.0;1.0;1999.0;26.0;;;2002;26;;;;;2000.5;0.0
-2;2000;SQUID_INK;1999.0;31.0;;;;;2001;2;2002.0;31.0;;;2000.5;0.0
-2;2100;SQUID_INK;2001.0;4.0;1999.0;22.0;;;2002;22;;;;;2000.5;0.0
-2;2200;SQUID_INK;1999.0;26.0;;;;;2002;26;;;;;2000.5;0.0
-2;2300;SQUID_INK;1998.0;30.0;;;;;2001;30;;;;;1999.5;0.0
-2;2400;SQUID_INK;1999.0;30.0;;;;;2002;30;;;;;2000.5;0.0
-2;2500;SQUID_INK;1999.0;21.0;;;;;2003;21;;;;;2001.0;0.0
-2;2600;SQUID_INK;2000.0;28.0;;;;;2003;22;;;;;2001.5;0.0
-2;2700;SQUID_INK;2000.0;27.0;;;;;2002;4;2003.0;27.0;;;2001.5;0.0
-2;2800;SQUID_INK;2000.0;28.0;;;;;2003;28;;;;;2001.5;0.0
-2;2900;SQUID_INK;2001.0;30.0;;;;;2004;30;;;;;2002.5;0.0
-2;3000;SQUID_INK;2001.0;28.0;;;;;2004;28;;;;;2002.5;0.0
-2;3100;SQUID_INK;2002.0;1.0;2000.0;26.0;;;2003;25;;;;;2001.5;0.0
-2;3200;SQUID_INK;1999.0;28.0;;;;;2002;28;;;;;2000.5;0.0
-2;3300;SQUID_INK;1999.0;26.0;;;;;2002;20;;;;;2000.5;0.0
-2;3400;SQUID_INK;2000.0;3.0;1999.0;23.0;;;2003;23;;;;;2001.0;0.0
-2;3500;SQUID_INK;2001.0;1.0;1999.0;31.0;;;2002;31;;;;;2000.5;0.0
-2;3600;SQUID_INK;2000.0;26.0;;;;;2004;26;;;;;2002.0;0.0
-2;3700;SQUID_INK;2000.0;2.0;1999.0;25.0;;;2003;27;;;;;2001.0;0.0
-2;3800;SQUID_INK;2001.0;2.0;2000.0;27.0;;;2004;27;;;;;2002.0;0.0
-2;3900;SQUID_INK;1999.0;26.0;;;;;2001;1;2003.0;26.0;;;2001.0;0.0
-2;4000;SQUID_INK;2000.0;31.0;;;;;2003;27;;;;;2001.5;0.0
-2;4100;SQUID_INK;1999.0;28.0;;;;;2001;5;2003.0;28.0;;;2001.0;0.0
-2;4200;SQUID_INK;1999.0;24.0;;;;;2002;25;;;;;2000.5;0.0
-2;4300;SQUID_INK;1999.0;26.0;;;;;2002;26;;;;;2000.5;0.0
-2;4400;SQUID_INK;1998.0;29.0;;;;;2000;2;2001.0;29.0;;;1999.5;0.0
-2;4500;SQUID_INK;1998.0;30.0;;;;;2001;30;;;;;1999.5;0.0
-2;4600;SQUID_INK;1998.0;31.0;;;;;2002;31;;;;;2000.0;0.0
-2;4700;SQUID_INK;1996.0;30.0;;;;;1999;30;;;;;1997.5;0.0
-2;4800;SQUID_INK;1998.0;26.0;;;;;2001;26;;;;;1999.5;0.0
-2;4900;SQUID_INK;1997.0;2.0;1996.0;22.0;;;2000;24;;;;;1998.0;0.0
-2;5000;SQUID_INK;1997.0;21.0;;;;;1998;3;2001.0;21.0;;;1999.0;0.0
-2;5100;SQUID_INK;1997.0;31.0;;;;;2001;31;;;;;1999.0;0.0
-2;5200;SQUID_INK;1998.0;27.0;;;;;2001;27;;;;;1999.5;0.0
-2;5300;SQUID_INK;1998.0;23.0;;;;;2001;1;2002.0;22.0;;;2000.0;0.0
-2;5400;SQUID_INK;1999.0;30.0;;;;;2002;30;;;;;2000.5;0.0
-2;5500;SQUID_INK;2001.0;4.0;1999.0;31.0;;;2002;30;;;;;2000.5;0.0
-2;5600;SQUID_INK;2000.0;6.0;1998.0;32.0;;;2002;32;;;;;2000.0;0.0
-2;5700;SQUID_INK;1997.0;29.0;;;;;1998;4;2000.0;29.0;;;1998.5;0.0
-2;5800;SQUID_INK;1996.0;28.0;;;;;1999;28;;;;;1997.5;0.0
-2;5900;SQUID_INK;1995.0;29.0;;;;;1999;29;;;;;1997.0;0.0
-2;6000;SQUID_INK;1995.0;23.0;;;;;1998;23;;;;;1996.5;0.0
-2;6100;SQUID_INK;1995.0;27.0;;;;;1999;27;;;;;1997.0;0.0
-2;6200;SQUID_INK;1996.0;10.0;1995.0;23.0;;;1999;25;;;;;1997.0;0.0
-2;6300;SQUID_INK;1997.0;26.0;;;;;2001;26;;;;;1999.0;0.0
-2;6400;SQUID_INK;1999.0;26.0;;;;;2000;1;2003.0;26.0;;;2001.0;0.0
-2;6500;SQUID_INK;2000.0;22.0;;;;;2003;22;;;;;2001.5;0.0
-2;6600;SQUID_INK;1999.0;24.0;;;;;2003;25;;;;;2001.0;0.0
-2;6700;SQUID_INK;2001.0;24.0;;;;;2004;28;;;;;2002.5;0.0
-2;6800;SQUID_INK;2002.0;8.0;2001.0;24.0;;;2005;24;;;;;2003.0;0.0
-2;6900;SQUID_INK;2001.0;28.0;;;;;2004;28;;;;;2002.5;0.0
-2;7000;SQUID_INK;1999.0;24.0;;;;;2001;5;2003.0;24.0;;;2001.0;0.0
-2;7100;SQUID_INK;1999.0;26.0;;;;;2000;5;2003.0;26.0;;;2001.0;0.0
-2;7200;SQUID_INK;2000.0;1.0;1999.0;26.0;;;2003;27;;;;;2001.0;0.0
-2;7300;SQUID_INK;2000.0;27.0;;;;;2003;28;;;;;2001.5;0.0
-2;7400;SQUID_INK;2003.0;1.0;2001.0;28.0;;;2005;28;;;;;2003.0;0.0
-2;7500;SQUID_INK;2003.0;1.0;2002.0;25.0;;;2006;26;;;;;2004.0;0.0
-2;7600;SQUID_INK;2003.0;30.0;;;;;2006;30;;;;;2004.5;0.0
-2;7700;SQUID_INK;2002.0;26.0;;;;;2005;26;;;;;2003.5;0.0
-2;7800;SQUID_INK;2004.0;1.0;2002.0;22.0;;;2006;22;;;;;2004.0;0.0
-2;7900;SQUID_INK;2004.0;1.0;2003.0;29.0;;;2007;30;;;;;2005.0;0.0
-2;8000;SQUID_INK;2003.0;24.0;;;;;2006;24;;;;;2004.5;0.0
-2;8100;SQUID_INK;2002.0;21.0;;;;;2005;21;;;;;2003.5;0.0
-2;8200;SQUID_INK;2002.0;1.0;2000.0;30.0;;;2004;30;;;;;2002.0;0.0
-2;8300;SQUID_INK;2002.0;2.0;2001.0;29.0;;;2004;2;2005.0;27.0;;;2003.0;0.0
-2;8400;SQUID_INK;2002.0;25.0;;;;;2005;25;;;;;2003.5;0.0
-2;8500;SQUID_INK;2002.0;1.0;2001.0;23.0;;;2003;2;2005.0;24.0;;;2003.0;0.0
-2;8600;SQUID_INK;2003.0;28.0;;;;;2006;28;;;;;2004.5;0.0
-2;8700;SQUID_INK;2004.0;9.0;2003.0;8.0;2002.0;22.0;2006;24;;;;;2004.0;0.0
-2;8800;SQUID_INK;2004.0;1.0;2002.0;20.0;;;2005;20;;;;;2003.5;0.0
-2;8900;SQUID_INK;2002.0;28.0;;;;;2005;27;;;;;2003.5;0.0
-2;9000;SQUID_INK;2002.0;31.0;;;;;2004;7;2005.0;31.0;;;2003.5;0.0
-2;9100;SQUID_INK;2002.0;24.0;;;;;2006;24;;;;;2004.0;0.0
-2;9200;SQUID_INK;2002.0;28.0;;;;;2005;28;;;;;2003.5;0.0
-2;9300;SQUID_INK;2004.0;5.0;2002.0;28.0;;;2006;28;;;;;2004.0;0.0
-2;9400;SQUID_INK;2002.0;27.0;;;;;2004;7;2005.0;27.0;;;2003.5;0.0
-2;9500;SQUID_INK;2001.0;29.0;;;;;2004;25;;;;;2002.5;0.0
-2;9600;SQUID_INK;2002.0;3.0;2001.0;35.0;;;2004;31;;;;;2002.5;0.0
-2;9700;SQUID_INK;2001.0;30.0;;;;;2004;30;;;;;2002.5;0.0
-2;9800;SQUID_INK;2002.0;32.0;;;;;2005;25;;;;;2003.5;0.0
-2;9900;SQUID_INK;2002.0;27.0;;;;;2004;1;2006.0;27.0;;;2004.0;0.0
-2;10000;SQUID_INK;2002.0;31.0;;;;;2005;31;;;;;2003.5;0.0
-2;10100;SQUID_INK;2003.0;6.0;2002.0;25.0;;;2006;25;;;;;2004.0;0.0
-2;10200;SQUID_INK;2003.0;30.0;;;;;2007;30;;;;;2005.0;0.0
-2;10300;SQUID_INK;2006.0;1.0;2004.0;23.0;;;2007;23;;;;;2005.5;0.0
-2;10400;SQUID_INK;2004.0;23.0;;;;;2007;23;;;;;2005.5;0.0
-2;10500;SQUID_INK;2004.0;20.0;;;;;2008;20;;;;;2006.0;0.0
